13	3	2021	332631	P
13	3	2021	339421	A
13	3	2021	332611	P
26	4	2021	332631	P
26	4	2021	339421	A
26	4	2021	332611	P
12	5	2021	332631	P
12	5	2021	339421	A
12	5	2021	332611	P
12	6	2021	332631	P
12	6	2021	339421	A
12	6	2021	332611	P
12	7	2021	332631	P
12	7	2021	339421	A
12	7	2021	332611	P
16	9	2021	332631	P
16	9	2021	339421	A
16	9	2021	332611	P
15	10	2021	332631	P
15	3	2021	339421	A
15	3	2021	332611	P
29	11	2021	332631	P
29  11	2021	339421	A
29	11	2021	332611	P
30	12	2021	332631	P
31	12	2021	339421	A
12	12	2021	332611	P


3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
3	3	2021	11223344	A
